2026-06-12 15:05:07,767 | WARNING  | werkzeug | req=- user=- |  * Debugger is active!
2026-06-12 15:05:17,792 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-12 15:05:17,792 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-12 15:05:17,793 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-12 15:05:17,793 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-12 15:05:17,801 | INFO     | app | req=- user=- | Application created with config: development
2026-06-12 15:05:17,801 | INFO     | __main__ | req=- user=- | Starting WF Enterprise Analytics on http://localhost:5000 [development]
2026-06-12 15:05:17,830 | WARNING  | werkzeug | req=- user=- |  * Debugger is active!
2026-06-12 15:05:23,180 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-12 15:05:23,180 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-12 15:05:23,180 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-12 15:05:23,180 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-12 15:05:23,188 | INFO     | app | req=- user=- | Application created with config: development
2026-06-12 15:05:23,188 | INFO     | __main__ | req=- user=- | Starting WF Enterprise Analytics on http://localhost:5000 [development]
2026-06-12 15:05:23,222 | WARNING  | werkzeug | req=- user=- |  * Debugger is active!
2026-06-12 15:05:28,381 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-12 15:05:28,382 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-12 15:05:28,382 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-12 15:05:28,382 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-12 15:05:28,390 | INFO     | app | req=- user=- | Application created with config: development
2026-06-12 15:05:28,390 | INFO     | __main__ | req=- user=- | Starting WF Enterprise Analytics on http://localhost:5000 [development]
2026-06-12 15:05:28,418 | WARNING  | werkzeug | req=- user=- |  * Debugger is active!
